table,var,format,description,nomenclature,creation,suppression,dates_manquantes
CT_IND_AAAA_GN,sup_HFoi_ind,number (8),Maladies du foie (hors mucoviscidose),-,,,
CT_IND_AAAA_GN,sup_HPan_ind,number (8),Maladies du pancréas (hors mucoviscidose),-,,,
CT_IND_AAAA_GN,top_ALDAutr_ind,number (8),Autres affections de longue durée (dont 31 et 32),-,,,
CT_IND_AAAA_GN,sup_ALDAutr_0_ind,number (8),Autres affections de longue durée non retrouvées ou non ventilées,-,,,
CT_IND_AAAA_GN,sup_ALDAutr_2_ind,number (8),Autres affections de longue durée pour insuffisances médullaires et autres cytopénies chroniques,-,,,
CT_IND_AAAA_GN,sup_ALDAutr_4_ind,number (8),Autres affections de longue durée pour bilharziose compliquée,-,,,
CT_IND_AAAA_GN,sup_ALDAutr_10_ind,number (8),"Autres affections de longue durée pour hémoglobinopathies, hémolyses chroniques constitutionnelles et acquises sévères",-,,,
CT_IND_AAAA_GN,sup_ALDAutr_19_ind,number (8),Autres affections de longue durée pour néphropathie chronique grave et syndrome néphrotique primitif (hors IRCT),-,,,
CT_IND_AAAA_GN,sup_ALDAutr_23_ind,number (8),Autres affections de longue durée pour affections psychiatriques (anomalies chromosomiques),-,,,
CT_IND_AAAA_GN,sup_ALDAutr_26_ind,number (8),Autres affections de longue durée pour scoliose structurale évolutive,-,,,
CT_IND_AAAA_GN,sup_ALDAutr_29_ind,number (8),"Autres affections de longue durée pour tuberculose active, lèpre",-,,,
CT_IND_AAAA_GN,sup_ALDAutr_30_ind,number (8),Autres affections de longue durée pour tumeurs à évolution imprévisible ou inconnue,-,,,
CT_IND_AAAA_GN,sup_ALDAutr_31_ind,number (8),Autres affections de longue durée hors liste (31),-,,,
CT_IND_AAAA_GN,sup_ALDAutr_32_ind,number (8),Autres affections de longue durée pour polypathologie (32),-,,,
CT_IND_AAAA_GN,sup_Patho_cat_exclu,number (8),Au moins une pathologie,-,,,
CT_IND_AAAA_GN,sup_Patho_cat_nnexclu,number (8),Au moins une pathologie ou traitement,-,,,
CT_IND_AAAA_GN,top_Materni_ind,number (8),Maternité (avec ou sans pathologies),-,,,
CT_IND_AAAA_GN,sup_Materni_ind_exclu,number (8),Maternité (hors pathologies et traitements),-,,,
CT_IND_AAAA_GN,sup_PatMat_cat,number (8),"Au moins une pathologie, traitement ou maternité",-,,,
CT_IND_AAAA_GN,sup_hospit_ponct,number (8),"Hospitalisations ponctuelles (avec ou sans pathologies, traitements ou maternité)",-,,,
CT_IND_AAAA_GN,sup_hospit_ponct_exclu,number (8),"Hospitalisations ponctuelles (hors pathologies, traitements ou maternité)",-,,,
CT_IND_AAAA_GN,sup_PatMatHos_cat,number (8),"Au moins une pathologie, traitement, maternité ou hospitalisation",-,,,
CT_IND_AAAA_GN,sup_Petit_Conso,number (8),"Pas de pathologies, traitements, maternité ou hospitalisations",-,,,
CT_IND_AAAA_GN,sup_Arthros_med,number (8),"Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)",-,,,
CT_IND_AAAA_GN,sup_AINS_med,number (8),"Traitement AINS (hors pathologies, traitements, maternité ou hospitalisations)",-,,,
CT_IND_AAAA_GN,sup_Antalg_med,number (8),"Traitement antalgique (hors pathologies, traitements, maternité ou hospitalisations)",-,,,
CT_IND_AAAA_GN,sup_ACorti_med,number (8),"Traitement corticoide (hors pathologies, traitements, maternité ou hospitalisations)",-,,,
CT_IND_AAAA_GN,sup_Arthros_med_nnexclu,number (8),"Traitement antalgique ou anti-inflammatoire (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-,,,
CT_IND_AAAA_GN,sup_AINS_med_nnexclu,number (8),"Traitement AINS (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-,,,
CT_IND_AAAA_GN,sup_Antalg_med_nnexclu,number (8),"Traitement antalgique (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-,,,
CT_IND_AAAA_GN,sup_ACorti_med_nnexclu,number (8),"Traitement corticoide (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-,,,
CT_IND_AAAA_GN,sup_Petit_Conso_exclu,number (8),"Pas de pathologies, traitements, maternité, hospitalisations ou traitement antalgique ou anti-inflammatoire",-,,,
CT_IND_AAAA_GN,sup_PopTot_cat,number (8),Total consommants régime général + sections locales mutualistes,-,,,
CT_IND_AAAA_GN,version,string (2),Version de la cartographie,-,,,
CT_IND_AAAA_GN,BEN_DCD_AME,string (6),Année et mois de décès du bénéficiaire,-,,,
DA_PRA_R,DTE_MOI_FIN,string (2),Mois de traitement,-,,,
DA_PRA_R,DTE_ANN_TRT,string (4),Exercice de traitement,-,,,
DA_PRA_R,PFS_PFS_NUM,string (8),N° du PS,-,,,
DA_PRA_R,TRT_SNI_COD,string (1),Code traitement SNIR PS,-,,,
DA_PRA_R,IPP_IDV_NUM,string (13),N.I.R. du P.S,-,,,
DA_PRA_R,IPP_SEX_COD,string (1),Sexe du PS,-,,,
DA_PRA_R,IPP_ANN_NAI,string (4),Année de naissance du P.S.,-,,,
DA_PRA_R,CAI_NUM,string (3),Cpam gestionnaire du P.S.,-,,,
DA_PRA_R,ACT_CAB_COD,string (2),Code cabinet d'un praticien,-,,,
DA_PRA_R,T733_CTR_NUM,string (2),CTR de rattachement,-,,,
DA_PRA_R,PFS_PRA_SPE,string (2),Spécialité Médicale PS,-,,,
DA_PRA_R,CES_CES_COD,string (2),Code diplôme du P.S,-,,,
DA_PRA_R,PRA_MEP_COD,string (2),Mode d'exercice particulier,-,,,
DA_PRA_R,CNV_CNV_COD,string (1),Code convention nationale du P.S.,-,,,
DA_PRA_R,PRA_IDP_DDP,string (1),Droit à dépassement,-,,,
DA_PRA_R,PRA_IDP_SAL,string (1),Top salarié,-,,,
DA_PRA_R,EXC_EXC_NAT,string (2),Nature d exercice,-,,,
DA_PRA_R,STA_PFS_NUM,string (8),Num. P.S de chainage statistique.,-,,,
DA_PRA_R,STA_CAI_NUM,string (3),CPAM resp. relevés stat P.S.,-,,,
DA_PRA_R,STA_CTR_NUM,string (2),CTR DE CHAINAGE,-,,,
DA_PRA_R,T733_STA_URC,string (2),URCAM DE CHAINAGE STATISTIQUE,-,,,
DA_PRA_R,FIS_PFS_NUM,string (8),Numéro chainage fiscal d'un P.S.,-,,,
DA_PRA_R,FIS_CAI_NUM,string (3),CPAM resp. relevé fisc. du P.S.,-,,,
DA_PRA_R,FIS_URC_COD,string (2),URCAM de chaînage fiscal,-,,,
DA_PRA_R,PFS_ACP_DSD,string (8),Date de début de spécialité Médicale PS,-,,,
DA_PRA_R,EXC_EFF_DSD,string (8),Date effet nat. exercice du P.S,-,,,
DA_PRA_R,EXC_FIN_MTF,string (1),Motif de fin d'exercice libéral,EXC_FIN_MTF,,,
DA_PRA_R,PFS_INS_DSD,string (8),date d'installation d'un P.S,-,,,
DA_PRA_R,PRA_SAL_SPE1,string (1),Spécialité salariés 1,-,,,
DA_PRA_R,PRA_SAL_SPE2,string (1),Spécialité salariés 2,-,,,
DA_PRA_R,PRA_SAL_SPE3,string (1),Spécialité salariés 3,-,,,
DA_PRA_R,PRA_SAL_SPE4,string (1),Spécialité salariés 4,-,,,
DA_PRA_R,PRA_SAL_SPE5,string (1),Spécialité salariés 5,-,,,
DA_PRA_R,PRA_SAL_SPE6,string (1),Spécialité salariés 6,-,,,
DA_PRA_R,PRA_DIP_NBR,string (2),Nb de salariés diplômés,-,,,
DA_PRA_R,PRA_SAL_NBR,string (2),Nb de salariés non diplômés,-,,,
DA_PRA_R,PFS_SPE_ANT,string (2),Spécialité Médicale PS antérieure,-,,,
DA_PRA_R,PFS_AMB_NBR,string (2),Effectif du véhicule de type ambulance,-,,,
DA_PRA_R,PFS_VSL_NBR,string (2),Effectif du véhicule de type VSL,-,,,
DA_PRA_R,PFS_TXI_NBR,string (2),Effectif du véhicule de type Taxi,-,,,
DA_PRA_R,PRA_TOP_REF,string (1),Code options conventionnelles,-,,,
DA_PRA_R,CAB_REF_DSD,string (8),Date début du code options conventionnelles,-,,,
DA_PRA_R,CAB_REF_DSF,string (8),Date fin du code options conventionnelles,-,,,
DA_PRA_R,LAB_CAT_COD,string (2),Code catégorie laboratoire,-,,,
DA_PRA_R,PRA_CIV_COD,string (1),Code civilité du PS,-,,,
DA_PRA_R,PFS_EXC_COM,string (3),Code commune adr. prof du P.S.,-,,,
DA_PRA_R,PFS_COD_POS,string (5),Code postal adr. prof du P.S.,-,,,
DA_PRA_R,PFS_LIB_COM,string (30),Lib. commune adr. prof. du P.S,-,,,
DA_PRA_R,PFS_FIN_NUM,string (8),NUMERO FINESS,-,,,
DA_PRA_R,PFS_MAJ_DAT,string (2),Mois de dernière mise à jour durant l'exercice,-,,,
DA_PRA_R,PFS_SCN_COD,string (5),Code association du P.S.,-,,,
EB_ARO_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,-,,,
EB_ARO_F,REM_TYP_AFF,number (8),type de remboursement affiné,-,,,
EB_ARO_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
EB_ARO_F,ARO_REM_MNT,"number (11,2)",Montant versé-remboursé (autre que régime obligatoire),-,,,
EB_ARO_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
EB_ARO_F,ARO_REM_TYP,number (3),Type de remboursement (autre que régime obligatoire),IR_TYR_V,,,
EB_ARO_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
EB_ARO_F,ARO_THE_TAU,"number (7,2)",Taux théorique de remboursement (autre que régime obligatoire),IR_TAU_V,,,
EB_ARO_F,DCT_ORD_NUM,number (9),numéro d'ordre du décompte dans l'organisme,-,,,
EB_ARO_F,ARO_PRS_NAT,number (5),Nature de la prestation (autre que régime obligatoire),IR_NAT_V,,,
EB_ARO_F,ARO_ENV_TYP,number (3),Type d'enveloppe (autre que régime obligatoire),IR_ENV_V,,,
EB_ARO_F,ARO_REM_BSE,"number (11,2)",Base de remboursement (autre que régime obligatoire),-,,,
EB_ARO_F,ARO_ASU_NAT,number (3),Nature d'assurance (autre que régime obligatoire),IR_ASU_V,,,
EB_ARO_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
EB_ARO_F,CLE_TEC_PRS,string (100),Clé technique Prestation,-,,,
EB_ARO_F,ARO_FJH_TYP,number (2),Type de prise en charge du forfait Journalier (autre que régime obligatoire),IR_FJH_V,,,
EB_ARO_F,ARO_ORD_NUM,number (3),Numéro d'ordre du remboursement autre que régime obligatoire,-,,,
EB_ARO_F,ARO_CPL_COD,number (2),Complément d'acte (autre que régime obligatoire),IR_CPA_V,,,
EB_ARO_F,ARO_MIN_TAU,"number (7,2)",Taux modulé (hors parcours de Soins) du remboursement (autre que régime obligatoire),-,,,
EB_ARO_F,ARO_MOD_MNT,"number (11,2)",Montant de la majoration de la participation de l'assuré (autre que régime obligatoire),-,,,
EB_ARO_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
EB_ARO_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,,,
EB_ARO_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
EB_ARO_F,ARO_REM_SGN,number (2),Signe du remboursement (autre que régime obligatoire),IR_SGN_V,,,
EB_ARO_F,ARO_REM_PRU,"number (14,5)",Prix unitaire de l'acte (autre que régime obligatoire),-,,,
EB_ARO_F,ARO_REM_TAU,"number (7,2)",Taux réel de remboursement (autre que régime obligatoire),IR_TAU_V,,,
EB_ARO_F,ARO_FTA_COD,number (2),Code forçage du taux (hors parcours de soins) autre que régime obligatoire,IR_FOR_V,,,
EB_BIO_F,CLE_TEC_PRS,string (100),Clé technique Prestation,-,,,
EB_BIO_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,-,,,
EB_BIO_F,REM_TYP_AFF,number (8),type de remboursement affiné,-,,,
EB_BIO_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
EB_BIO_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
EB_BIO_F,BIO_PRS_IDE,number (4),Code NABM de l'acte de biologie,-,,,
EB_BIO_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
EB_BIO_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
EB_BIO_F,DCT_ORD_NUM,number (9),numéro d'ordre du décompte dans l'organisme,-,,,
EB_BIO_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,,,
EB_BIO_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
EB_BIO_F,BIO_ACT_QSN,number (5),Quantité d'actes de biologie,-,,,
EB_BIO_F,BIO_ORD_NUM,number (4),Numéro d'ordre de l'acte affiné de biologie,-,,,
EB_BIO_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
EB_CAM_F,CAM_REM_BSE,"number (7,2)",Base de remboursement de la CCAM,-,,,
EB_CAM_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,-,,,
EB_CAM_F,REM_TYP_AFF,number (8),type de remboursement affiné,-,,,
EB_CAM_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
EB_CAM_F,CAM_DOC_EXT,string (1),Extension documentaire,-,,,
EB_CAM_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
EB_CAM_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
EB_CAM_F,DCT_ORD_NUM,number (9),numéro d'ordre du décompte dans l'organisme,-,,,
EB_CAM_F,CAM_QUA_DEN,string (32),Localisation dentaire,-,,,
EB_CAM_F,CAM_ASS_COD,string (1),Code association,-,,,
EB_CAM_F,CAM_MOD_COD,string (4),Codes modificateurs,-,,,
EB_CAM_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
EB_CAM_F,CLE_TEC_PRS,string (100),Clé technique Prestation,-,,,
EB_CAM_F,CAM_TRT_PHA,number (1),Phase de traitement,-,,,
EB_CAM_F,CAM_ACT_COD,string (1),Code activite,-,,,
EB_CAM_F,CAM_ORD_NUM,number (3),Numéro d'ordre de la prestation affinée CCAM,-,,,
EB_CAM_F,CAM_PRS_IDE,string (13),Code CCAM de l'acte médical,-,,,
EB_CAM_F,CAM_GRI_TAR,string (3),Grille tarifaire,-,,,
EB_CAM_F,CAM_REM_COD,string (1),Code remboursement exceptionnel,-,,,
EB_CAM_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
EB_CAM_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,,,
EB_CAM_F,CAM_ACT_PRU,"number (7,2)",Prix unitaire CCAM de l'acte médical,-,,,
EB_CAM_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
EB_DCT_F,DCT_MAN_DTD,date (8),Date de mandatement Initial,IR_DTE_V,,,
EB_DCT_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,-,,,
EB_DCT_F,DCT_ARC_DTE,date (8),Date liquidation,IR_DTE_V,,,
EB_DCT_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
EB_DCT_F,DCT_ENT_SUP,number (3),Type de saisie affinée,IR_SAF_V,,,
EB_DCT_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
EB_DCT_F,DCT_RGU_SNS,string (1),Sens de la régulation,IR_RGU_V,,,
EB_DCT_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
EB_DCT_F,DCT_MVT_SYS,number (2),Type de saisie,IR_SAI_V,,,
EB_DCT_F,DCT_ORD_NUM,number (9),numéro d'ordre du décompte dans l'organisme,-,,,
EB_DCT_F,DCT_REM_DTD,date (8),Date de remboursement - recyclage,IR_DTE_V,,,
EB_DCT_F,DCT_ARR_DTE,date (8),Date arrivée du dossier,IR_DTE_V,,,
EB_DCT_F,DCT_CTL_COD,number (3),Code du contrôle,IR_CLC_V,,,
EB_DCT_F,DCT_MUT_CMP,string (1),Part Mutuelle Complementaire décompte,-,,,
EB_DCT_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
EB_DCT_F,CLE_TEC_DCT,string (100),Clé technique Décompte,-,,,
EB_DCT_F,DCT_CTL_TYP,string (1),Type de Controle,IR_CTL_V,,,
EB_DCT_F,CLE_TEC_PRS,string (100),Clé technique Prestation,-,,,
EB_DCT_F,DCT_LOT_TCR,string (1),Type Certification du Lot,IR_TCR_V,,,
EB_DCT_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
EB_DCT_F,DCT_INT_VER,string (2),Type de Version interface Tiers,IR_INT_V,,,
EB_DCT_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
EB_ETE_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,-,,,
EB_ETE_F,ETE_MCO_COE,"number (7,4)",Coefficient (Non Signé) MCO,-,,,
EB_ETE_F,REM_TYP_AFF,number (8),type de remboursement affiné,-,,,
EB_ETE_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
EB_ETE_F,DDP_COD,number (3),Code de la discipline de Prestations (ou discipline médico tarifaire),IR_DDP_V,,,
EB_ETE_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
EB_ETE_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
EB_ETE_F,DCT_ORD_NUM,number (9),numéro d'ordre du décompte dans l'organisme,-,,,
EB_ETE_F,ETE_CAT_COD,number (3),Catégorie de l'établissement exécutant,IR_CET_V,,,
EB_ETE_F,ETE_NAT_FSJ,string (1),Nature de fin de séjour,IR_NFS_V,,,
EB_ETE_F,MDT_COD,number (2),Code du mode de traitement,IR_MDT_V,,,
EB_ETE_F,ETE_TYP_COD,number (2),Code du type de l'établissement exécutant,IR_TYE_V,,,
EB_ETE_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
EB_ETE_F,ETB_EXE_FIN,string (8),N° FINESS de l'établissement exécutant,-,,,
EB_ETE_F,ETE_STJ_COD,number (3),Statut Juridique de l'établissement juridique,IR_SJE_V,,,
EB_ETE_F,ETE_MCO_DDP,string (1),Code discipline MCO établissement exécutant,IR_MCO_V,,,
EB_ETE_F,CLE_TEC_PRS,string (100),Clé technique Prestation,-,,,
EB_ETE_F,ETE_GHS_NUM,number (4),Numéro du GHS,IR_GHS_V,,,
EB_ETE_F,ETE_IND_TAA,number (1),Indicateur TAA,IR_TAA_V,,,
EB_ETE_F,ETE_ETA_TRF,string (15),Numéro d'établissement de transfert,-,,,
EB_ETE_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
EB_ETE_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,,,
EB_ETE_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
EB_ETE_F,MFT_COD,number (2),Code du mode de fixation des tarifs,IR_MFT_V,,,
EB_ETE_F,PRS_PPU_SEC,number (1),Code privé - public de la Prestations,IR_PPU_V,,,
EB_HMV_F,BEN_QLT,string (2),Qualité du bénéficiaire (A=assuré AD=ayant-droit),-,,,
EB_HMV_F,ORG_AFF_DTF,date (8),Date de fin de rattachement à l'ancien organisme,IR_DTE_V,,,
EB_HMV_F,BEN_MVT_TOP,string (1),Code des mouvements du bénéficiaire,-,,,
EB_HMV_F,SLM_RTT_COD,string (3),ancienne SLM de rattachement au RNIAM,IR_SLM_V,,,
EB_HMV_F,GRG_RTT_COD,string (3),Grand régime de rattachement au RNIAM du bénéficiaire,-,,,
EB_HMV_F,BEN_RES_DPT,string (3),Département de résidence du bénéficiaire,IR_DPT_V,,,
EB_HMV_F,BEN_NIR_IDT,string (17),NIR anonyme du bénéficiaire dans l'échantillon,-,,,
EB_HMV_F,MAJ_SYS_DTE,date (8),Date de mise à jour des données du bénéficiaire dans le référentiel,IR_DTE_V,,,
EB_HMV_F,CAI_RTT_COD,string (3),caisse de rattachement au RNIAM,-,,,
EB_IMB_R,IMB_MLP_BTR,string (1),"Tableau des maladies professionnelles (bis, ter)",-,,,
EB_IMB_R,MED_MTF_COD,string (5),Motif médical ou pathologie (code CIM10),IR_CIM_V,,,
EB_IMB_R,IMB_MLP_TAB,string (3),Numéro de tableau des maladies professionnelles (MP),AT_MLP_V,,,
EB_IMB_R,IMB_ALD_DTD,date (8),"Date de début d'exonération du ticket modérateur attribuée par les services médicaux (ALD, AT, MP)",IR_DTE_V,,,
EB_IMB_R,IMB_ETM_NAT,number (2),Motif d'exonération du bénéficiaire,IR_ETM_V,,,
EB_IMB_R,IMB_ALD_NUM,number (2),Numéro d'ALD,IR_ALD_V,,,
EB_IMB_R,INS_DTE,date (8),Date d'insertion,-,,,
EB_IMB_R,UPD_DTE,date (8),Date de la dernière sélection des bénéficiaires de l'EGB,-,,,
EB_IMB_R,IMB_ALD_DTF,date (8),"Date de fin de l'exonération attribuée par les services médicaux (ALD, AT, MP)",IR_DTE_V,,,
EB_IMB_R,BEN_NIR_IDT,string (17),NIR anonyme du bénéficiaire dans l'échantillon,-,,,
EB_IMB_R,MED_NCL_IDT,string (10),Nomenclature médicale,IR_NMD_V,,,
EB_IMB_R,IMB_SDR_LOP,string (1),Localisation - paragraphe syndrome,-,,,
EB_INB_F,BEN_QLT,string (2),Qualité du bénéficiaire (A=assuré AD=ayant-droit),-,,,
EB_INB_F,ORG_AFF_DTF,date (8),Date de fin de rattachement à l'ancien organisme,IR_DTE_V,,,
EB_INB_F,BEN_SEX_COD,number (1),Code sexe du bénéficiaire,IR_SEX_V,,,
EB_INB_F,BEN_RES_DPT,string (3),Département de résidence du bénéficiaire,IR_DPT_V,,,
EB_INB_F,BEN_NIR_IDT,string (17),NIR anonyme du bénéficiaire dans l'échantillon,-,,,
EB_INB_F,BEN_DCD_AME,string (6),Année et mois de décès du bénéficiaire,-,,,
EB_INB_F,MAJ_SYS_DTE,date (8),Date de mise à jour des données du bénéficiaire dans le référentiel,IR_DTE_V,,,
EB_INB_F,UPD_DTE,date (8),Date de la dernière sélection des bénéficiaires de l'EGB,-,,,
EB_INB_F,BEN_NAI_ANN,string (4),Année de naissance du bénéficiaire,-,,,
EB_INB_F,BEN_DCD_DTD,date (8),Date de décès du bénéficiaire dans le référentiel de l'EGB,IR_DTE_V,,,
EB_INB_F,BEN_MVT_TOP,string (1),Code des mouvements du bénéficiaire,-,,,
EB_INB_F,SLM_RTT_COD,string (3),ancienne SLM de rattachement au RNIAM,IR_SLM_V,,,
EB_INB_F,GRG_RTT_COD,string (3),Grand régime de rattachement au RNIAM du bénéficiaire,-,,,
EB_INB_F,INS_DTE,date (8),Date d'insertion,-,,,
EB_INB_F,CAI_RTT_COD,string (3),caisse de rattachement au RNIAM,-,,,
EB_INB_F,BEN_NAI_ANM,string (6),Année et mois de naissance du bénéficiaire,-,,,
EB_INV_F,INV_ATR_DTD,date (8),Date d'attribution de la pension d'invalidité,IR_DTE_V,,,
EB_INV_F,CLE_TEC_PRS,string (100),Clé technique Prestation,-,,,
EB_INV_F,INV_PEN_CAT,number (2),Catégorie de la pension d'invalidité,IR_CIV_V,,,
EB_INV_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,-,,,
EB_INV_F,REM_TYP_AFF,number (8),type de remboursement affiné,-,,,
EB_INV_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
EB_INV_F,INV_PEN_ETA,number (2),Etat de la pension d'invalidité,IR_EIN_V,,,
EB_INV_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
EB_INV_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
EB_INV_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
EB_INV_F,DCT_ORD_NUM,number (9),numéro d'ordre du décompte dans l'organisme,-,,,
EB_INV_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,,,
EB_INV_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
EB_INV_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
EB_PHA_F,PHA_PRS_C13,number (13),Code CIP de la pharmacie de ville (13 Caractères),-,,,
EB_PHA_F,PHA_ORD_NUM,number (4),Numéro d'ordre de la prestation affinée pharmacie,-,,,
EB_PHA_F,PHA_ACT_QSN,number (4),Quantité affinée signée (= nombre de boites facturées),IR_PHA_R,,,
EB_PHA_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,-,,,
EB_PHA_F,PHA_MOD_PRN,string (1),Mode de prescription,IR_MDP_V,,,
EB_PHA_F,REM_TYP_AFF,number (8),type de remboursement affiné,-,,,
EB_PHA_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
EB_PHA_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
EB_PHA_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
EB_PHA_F,PHA_CPA_PCP,string (3),Condition particulière de prise en charge,IR_PHA_R,,,
EB_PHA_F,DCT_ORD_NUM,number (9),numéro d'ordre du décompte dans l'organisme,-,,,
EB_PHA_F,PHA_IDE_CPL,number (6),Préfixe du code CIP,-,,,
EB_PHA_F,PHA_PRS_IDE,number (7),Code CIP de la pharmacie de ville (ancien code sur 7 Caractères),IR_PHA_R,,,
EB_PHA_F,PHA_SEQ_RNV,number (2),Séquence de renouvellement,IR_SEQ_V,,,
EB_PHA_F,PHA_ACT_PRU,"number (10,5)",Prix unitaire du médicament codé en CIP,-,,,
EB_PHA_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
EB_PHA_F,CLE_TEC_PRS,string (100),Clé technique Prestation,-,,,
EB_PHA_F,PHA_DEC_TOP,string (1),Top déconditionnement,IR_TDU_V,,,
EB_PHA_F,PHA_DEC_QSU,number (4),Quantité complète de déconditionnement signée,IR_PHA_R,,,
